game_date,game_pk,game_type,status,venue,game_datetime_utc,away_team,home_team,away_team_id,home_team_id,away_probable_pitcher,home_probable_pitcher
2024-07-23,745715,R,Final,Yankee Stadium,2024-07-23 23:05:00+00:00,New York Mets,New York Yankees,121,147,,
2024-07-23,744904,R,Final,Rogers Centre,2024-07-23 23:07:00+00:00,Tampa Bay Rays,Toronto Blue Jays,139,141,,
2024-07-23,745878,R,Final,Target Field,2024-07-23 23:40:00+00:00,Philadelphia Phillies,Minnesota Twins,143,142,,
2024-07-23,744985,R,Final,Globe Life Field,2024-07-24 00:05:00+00:00,Chicago White Sox,Texas Rangers,145,140,,
2024-07-23,746848,R,Final,Wrigley Field,2024-07-24 00:05:00+00:00,Milwaukee Brewers,Chicago Cubs,158,112,,
2024-07-23,746281,R,Final,Kauffman Stadium,2024-07-24 00:10:00+00:00,Arizona Diamondbacks,Kansas City Royals,109,118,,
2024-07-23,746524,R,Final,Coors Field,2024-07-24 00:40:00+00:00,Boston Red Sox,Colorado Rockies,111,115,,
2024-07-23,745632,R,Final,Oakland Coliseum,2024-07-24 01:40:00+00:00,Houston Astros,Oakland Athletics,117,133,,
2024-07-23,745227,R,Final,T-Mobile Park,2024-07-24 01:40:00+00:00,Los Angeles Angels,Seattle Mariners,108,136,,
2024-07-23,746118,R,Final,Dodger Stadium,2024-07-24 02:10:00+00:00,San Francisco Giants,Los Angeles Dodgers,137,119,,
2024-07-23,747090,R,Postponed,Truist Park,2024-07-23 23:20:00+00:00,Cincinnati Reds,Atlanta Braves,113,144,,
2024-07-24,747091,R,Final,Truist Park,2024-07-24 16:20:00+00:00,Cincinnati Reds,Atlanta Braves,113,144,,
2024-07-24,745472,R,Final,PNC Park,2024-07-24 16:35:00+00:00,St. Louis Cardinals,Pittsburgh Pirates,138,134,,
2024-07-24,745877,R,Final,Target Field,2024-07-24 17:10:00+00:00,Philadelphia Phillies,Minnesota Twins,143,142,,
